dataset,horizon_min,model,C_u_over_C_o,total_cost_dollars,cost_waste_dollars,cost_violation_dollars,cost_per_vcpu_month,violation_rate,waste_rate,mean_violation_pp,mean_waste_pp,savings_vs_naive_dollars,savings_vs_naive_pct,n_timesteps
ByteDance,10,xgboost,5,32.37925338745117,5.437079429626465,26.942174911499023,2.176654815673828,0.5001789521186375,0.4998210478813625,1.048121452331543,1.0575834512710571,17.533294677734375,35.128028869628906,64263
ByteDance,10,lightgbm,5,43.64703806220531,6.97726721712941,36.6697708450759,2.934117679360237,0.5016728132829155,0.4983271867170845,1.4265506918863073,1.3571703813098928,6.2655100029802355,12.552975646119108,64263
ByteDance,10,extratrees,5,33.508011324022476,5.564554745218857,27.943456578803616,2.252534256411576,0.4917759830695735,0.5076482579400277,1.0870740775719938,1.0823791966642657,16.40453674116307,32.86655836471988,64263
ByteDance,10,bilstm,5,,,,,0.48771454802919256,0.5121142803790673,,,,,64263
ByteDance,10,linear_reg,5,52.239898681640625,8.588350296020508,43.65155029296875,3.5117619037628174,0.4775064967399592,0.5224935032600407,1.6981602907180786,1.6705470085144043,-2.327350616455078,-4.662856578826904,64263
ByteDance,10,naive,10,91.50981903076172,8.315278053283691,83.19454193115234,6.1516337394714355,0.4822370570935064,0.4824082286852466,1.6182433366775513,1.6174310445785522,0.0,0.0,64263
ByteDance,10,hetero_ensemble,10,77.81137683123737,7.043357409790249,70.76801942144712,5.230772729423546,0.4957284907333925,0.5042715092666076,1.3765311964397695,1.3700257943509966,13.69844219952435,14.969368691374548,64263
ByteDance,10,homo_ensemble,10,77.9321713165617,7.02696243789753,70.90520887866418,5.238892987995372,0.4966932760686554,0.5033067239313447,1.3791997120945214,1.3668367563562096,13.577647714200012,14.837367025756857,64263
ByteDance,10,xgboost,10,59.32143020629883,5.437079429626465,53.88434982299805,3.987809181213379,0.5001789521186375,0.4998210478813625,1.048121452331543,1.0575834512710571,32.18838882446289,35.1747932434082,64263
ByteDance,10,lightgbm,10,80.31680890728121,6.97726721712941,73.3395416901518,5.399197274939776,0.5016728132829155,0.4983271867170845,1.4265506918863073,1.3571703813098928,11.193010123480505,12.231485366305762,64263
ByteDance,10,extratrees,10,61.45146790282609,5.564554745218857,55.88691315760723,4.130998262455981,0.4917759830695735,0.5076482579400277,1.0870740775719938,1.0823791966642657,30.05835112793563,32.84713208517142,64263
ByteDance,10,bilstm,10,,,,,0.48771454802919256,0.5121142803790673,,,,,64263
ByteDance,10,linear_reg,10,95.89144897460938,8.588350296020508,87.3031005859375,6.446183204650879,0.4775064967399592,0.5224935032600407,1.6981602907180786,1.6705470085144043,-4.381629943847656,-4.788152694702148,64263
ByteDance,30,naive,1,17.19952392578125,8.569619178771973,8.629904747009277,1.1595728397369385,0.4818109462053467,0.4838865739656975,1.6835029125213623,1.6717424392700195,0.0,0.0,64077
ByteDance,30,hetero_ensemble,1,16.24809164066329,8.0079007655196,8.24019087514369,1.0954282486331355,0.4916584733991916,0.5083415266008084,1.607478282992277,1.5621636401360082,0.95143228511796,5.531736164463304,64077
ByteDance,30,homo_ensemble,1,16.019991705887954,7.8984432788352725,8.121548427052682,1.0800500049851889,0.49223590367838693,0.507764096321613,1.5843337755849762,1.5408109147656865,1.1795322198932965,6.857935283459998,64077
ByteDance,30,xgboost,1,14.487593650817871,7.204257011413574,7.283336639404297,0.976737380027771,0.49808823758915055,0.5019117624108494,1.4208171367645264,1.405390739440918,2.711930274963379,15.767472267150879,64077
ByteDance,30,lightgbm,1,15.038922228730094,7.596457079929406,7.442465148800688,1.0139073931069496,0.4996956786366403,0.5003043213633597,1.451859705666754,1.4819001123510394,2.160601697051156,12.561985473403245,64077
ByteDance,30,extratrees,1,13.477202955464001,6.728350893843665,6.748852061620337,0.908618018440384,0.486243113753765,0.513741280022473,1.3165511926315872,1.3125518699852647,3.7223209703172486,21.642000013370545,64077
ByteDance,30,bilstm,1,,,,,0.49409304430606926,0.5057352872325483,,,,,64077
ByteDance,30,linear_reg,1,18.742507934570312,9.02548885345459,9.717019081115723,1.263598918914795,0.5196404326045226,0.4803595673954773,1.8955745697021484,1.760672688484192,-1.5429840087890625,-8.971085548400879,64077
ByteDance,30,naive,2,25.829429626464844,8.569619178771973,17.259809494018555,1.7413913011550903,0.4818109462053467,0.4838865739656975,1.6835029125213623,1.6717424392700195,0.0,0.0,64077
ByteDance,30,hetero_ensemble,2,24.48828251580698,8.0079007655196,16.48038175028738,1.6509727432352663,0.4916584733991916,0.5083415266008084,1.607478282992277,1.5621636401360082,1.3411471106578645,5.1923218207022455,64077
ByteDance,30,homo_ensemble,2,24.141540132940637,7.8984432788352725,16.243096854105364,1.6275957578273568,0.49223590367838693,0.507764096321613,1.5843337755849762,1.5408109147656865,1.6878894935242066,6.534753256009937,64077
ByteDance,30,xgboost,2,21.770931243896484,7.204257011413574,14.566673278808594,1.4677720069885254,0.49808823758915055,0.5019117624108494,1.4208171367645264,1.405390739440918,4.058498382568359,15.712691307067871,64077
ByteDance,30,lightgbm,2,22.48138737753078,7.596457079929406,14.884930297601375,1.5156701073853796,0.4996956786366403,0.5003043213633597,1.451859705666754,1.4819001123510394,3.348042248934064,12.96212226654691,64077
ByteDance,30,extratrees,2,20.226055017084338,6.728350893843665,13.497704123240673,1.3636181106138605,0.486243113753765,0.513741280022473,1.3165511926315872,1.3125518699852647,5.603374609380506,21.693760529807772,64077
ByteDance,30,bilstm,2,,,,,0.49409304430606926,0.5057352872325483,,,,,64077
ByteDance,30,linear_reg,2,28.45952606201172,9.02548885345459,19.434038162231445,1.9187095165252686,0.5196404326045226,0.4803595673954773,1.8955745697021484,1.760672688484192,-2.630096435546875,-10.182557106018066,64077
ByteDance,30,naive,3,34.45933151245117,8.569619178771973,25.889711380004883,2.323209762573242,0.4818109462053467,0.4838865739656975,1.6835029125213623,1.6717424392700195,0.0,0.0,64077
ByteDance,30,hetero_ensemble,3,32.72847339095067,8.0079007655196,24.72057262543107,2.206517237837397,0.4916584733991916,0.5083415266008084,1.607478282992277,1.5621636401360082,1.7308581215005034,5.022901041696335,64077
ByteDance,30,homo_ensemble,3,32.26308855999332,7.8984432788352725,24.364645281158047,2.175141510669525,0.49223590367838693,0.507764096321613,1.5843337755849762,1.5408109147656865,2.196242952457851,6.373434585242269,64077
ByteDance,30,xgboost,3,29.054264068603516,7.204257011413574,21.850008010864258,1.958806037902832,0.49808823758915055,0.5019117624108494,1.4208171367645264,1.405390739440918,5.405067443847656,15.685351371765137,64077
ByteDance,30,lightgbm,3,29.923852526331473,7.596457079929406,22.327395446402065,2.01743282166381,0.4996956786366403,0.5003043213633597,1.451859705666754,1.4819001123510394,4.535478986119699,13.161831025308476,64077
ByteDance,30,extratrees,3,26.97490707870468,6.728350893843665,20.246556184861014,1.8186182027873372,0.486243113753765,0.513741280022473,1.3165511926315872,1.3125518699852647,7.484424433746494,21.719586844109703,64077
ByteDance,30,bilstm,3,,,,,0.49409304430606926,0.5057352872325483,,,,,64077
ByteDance,30,linear_reg,3,38.176544189453125,9.02548885345459,29.15105628967285,2.573820114135742,0.5196404326045226,0.4803595673954773,1.8955745697021484,1.760672688484192,-3.717212677001953,-10.78724479675293,64077
ByteDance,30,naive,5,51.719139099121094,8.569619178771973,43.14952087402344,3.486846923828125,0.4818109462053467,0.4838865739656975,1.6835029125213623,1.6717424392700195,0.0,0.0,64077
ByteDance,30,hetero_ensemble,5,49.20885514123805,8.0079007655196,41.200954375718446,3.317606227041659,0.4916584733991916,0.5083415266008084,1.607478282992277,1.5621636401360082,2.510283957883047,4.8536847318205,64077
ByteDance,30,homo_ensemble,5,48.50618541409868,7.8984432788352725,40.60774213526341,3.2702330163538607,0.49223590367838693,0.507764096321613,1.5843337755849762,1.5408109147656865,3.2129536850224127,6.212310840798611,64077
ByteDance,30,xgboost,5,43.620941162109375,7.204257011413574,36.416683197021484,2.940875291824341,0.49808823758915055,0.5019117624108494,1.4208171367645264,1.405390739440918,8.098197937011719,15.658029556274414,64077
ByteDance,30,lightgbm,5,44.808782823932845,7.596457079929406,37.21232574400344,3.02095825022067,0.4996956786366403,0.5003043213633597,1.451859705666754,1.4819001123510394,6.910356275188249,13.361313423922947,64077
