container_id,mae_naive,mae_ensemble,n_timesteps,skill,ens_wins,horizon,acf_24h,acf_quartile
c_12545,1.85,1.65892250698174,320,0.1032851429176261,1,120min,0.732913644080172,Q4 (high)
c_1255,4.943038,3.243714073624522,316,0.34378127736102876,1,120min,0.9105129776020682,Q4 (high)
c_1256,0.16666667,0.2428920501568432,318,-0.4573522575085774,0,120min,0.0970335725507545,Q2
c_12562,0.5140187,0.5240259867997814,321,-0.01946869265834127,0,120min,0.2827527875466982,Q2
c_12596,1.63125,1.788783528349136,320,-0.09657226188800978,0,120min,-0.0520823395173959,Q1 (low)
c_12604,3.478125,3.22208240150473,320,0.07361514805885765,1,120min,0.3493413016984318,Q3
c_12607,10.286604,9.477058110562025,321,0.07869903641154279,1,120min,0.4072497247985336,Q3
c_12645,4.3679247,2.538618833603406,318,0.41880434906031005,1,120min,0.8862812732988415,Q4 (high)
c_12670,1.8625,1.6662553663705413,320,0.10536622333959514,1,120min,0.3050827964925595,Q2
c_12674,0.29022083,0.3069404446041163,317,-0.05760998588738334,0,120min,0.4138203132159561,Q3
c_12689,3.9682539,2.6493397071674947,315,0.33236637405593505,1,120min,0.8935348783331291,Q4 (high)
c_12691,5.6498423,3.119006052588756,317,0.44794811823000064,1,120min,0.9566258783851658,Q4 (high)
c_12695,3.610592,3.518175878103011,321,0.02559580622249909,1,120min,0.562492040431675,Q3
c_12701,1.0252366,0.9931459938777694,317,0.03130068953216477,1,120min,0.2242627899710887,Q2
c_12715,1.484375,1.7774695560230398,320,-0.1974531745839426,0,120min,0.1569610209598246,Q2
c_12722,1.2261146,1.1833123076104637,314,0.034908908202398004,1,120min,,
c_1277,4.1875,2.909023235726279,320,0.3053078840056648,1,120min,0.8467219093930451,Q4 (high)
c_12774,1.1557633,1.2603302921900377,321,-0.09047443068305004,0,120min,0.040128560423009,Q1 (low)
c_12775,1.2793651,1.1729910078901555,315,0.08314597445536044,1,120min,0.6081369329129942,Q3
c_12782,1.8338557,2.460465127019565,319,-0.3416895682585917,0,120min,0.033641063839803,Q1 (low)
c_12792,0.44025156,0.4752212437253089,318,-0.07943114337660732,0,120min,0.0431220762251786,Q1 (low)
c_12798,4.224684,4.220465871186099,316,0.0009983919859095924,1,120min,0.2642207574216793,Q2
c_12814,0.234375,0.2760186578179445,320,-0.1776796066898965,0,120min,0.0086724408891932,Q1 (low)
c_12819,0.4025157,0.4220507304790368,318,-0.04853231966516436,0,120min,0.0126516272711535,Q1 (low)
c_12831,4.984177,4.766257177556773,316,0.043722349768144056,1,120min,0.3223933721820959,Q3
c_12839,0.39440992,0.41542620317432627,322,-0.05328536913041558,0,120min,-0.0211267553776221,Q1 (low)
c_12840,0.9529781,1.047673245222033,319,-0.09936762786075354,0,120min,0.0415966444436221,Q1 (low)
c_12859,0.8847352,0.8438907836946395,321,0.04616572473557963,1,120min,0.5105025756801604,Q3
c_12879,0.5638629,0.6613063822165677,321,-0.1728140989345632,0,120min,0.1866169245714986,Q2
c_12894,2.9968152,3.1959475402655917,314,-0.06644798629498964,0,120min,0.0921607325223324,Q2
c_12896,1.5917722,1.6669276042939485,316,-0.04721492540160449,0,120min,0.0252756253528377,Q1 (low)
