Horizon,Strategy,variant,safety_margin,violation_rate,waste_rate,viol_severity
120min,Reactive,lag=3,1.2,0.02777078968442197,0.47043767940926046,0.02375447486848475
120min,Reactive,lag=3,1.267,0.02777078968442197,0.47043767940926046,0.02375447486848475
120min,Reactive,lag=3,1.333,0.02777078968442197,0.47043767940926046,0.02375447486848475
120min,Reactive,lag=3,1.4,0.02777078968442197,0.47043767940926046,0.02375447486848475
120min,Reactive,lag=3,1.467,0.02777078968442197,0.47043767940926046,0.02375447486848475
120min,Reactive,lag=3,1.533,0.02777078968442197,0.47043767940926046,0.02375447486848475
120min,Reactive,lag=3,1.6,0.02777078968442197,0.47043767940926046,0.02375447486848475
120min,Reactive,lag=4,1.0,0.030755719087608928,0.4717528323800097,0.026179149870857402
120min,Reactive,lag=4,1.067,0.030755719087608928,0.4717528323800097,0.026179149870857402
120min,Reactive,lag=4,1.133,0.030755719087608928,0.4717528323800097,0.026179149870857402
120min,Reactive,lag=4,1.2,0.030755719087608928,0.4717528323800097,0.026179149870857402
120min,Reactive,lag=4,1.267,0.030755719087608928,0.4717528323800097,0.026179149870857402
120min,Reactive,lag=4,1.333,0.030755719087608928,0.4717528323800097,0.026179149870857402
120min,Reactive,lag=4,1.4,0.030755719087608928,0.4717528323800097,0.026179149870857402
120min,Reactive,lag=4,1.467,0.030755719087608928,0.4717528323800097,0.026179149870857402
120min,Reactive,lag=4,1.533,0.030755719087608928,0.4717528323800097,0.026179149870857402
120min,Reactive,lag=4,1.6,0.030755719087608928,0.4717528323800097,0.026179149870857402
120min,ML-Proactive,ML,1.0,0.01702427567612204,0.47376459231565504,0.01461790889618678
120min,ML-Proactive,ML,1.067,0.016163940029996524,0.4972274751024308,0.014192975465672532
120min,ML-Proactive,ML,1.133,0.015404104902056804,0.5173926141021312,0.013851667591799637
120min,ML-Proactive,ML,1.2,0.014746690684370121,0.5348658227260483,0.013568534018198984
120min,ML-Proactive,ML,1.267,0.014108480387355883,0.550303946421379,0.013313679618341786
120min,ML-Proactive,ML,1.333,0.013582933091619984,0.56390656726857,0.013095836752471895
120min,ML-Proactive,ML,1.4,0.01322253951366711,0.5761435694011103,0.012903507295001317
120min,ML-Proactive,ML,1.467,0.012913996521529835,0.5871618043284587,0.012737872134503954
120min,ML-Proactive,ML,1.533,0.012723877706872635,0.5972893262158009,0.01258525782433462
120min,ML-Proactive,ML,1.6,0.012558723989089613,0.6063557391574076,0.012456136981582924
