Horizon,Strategy,variant,target_util,safety_margin,violation_rate,waste_rate,viol_severity
30min,Reactive,lag=4_tu=0.6,0.6,1.067,0.03557212167251549,0.4292865587947051,0.02804265684424598
30min,Reactive,lag=4_tu=0.6,0.6,1.133,0.03223305158415008,0.4533443213807679,0.026699246292815067
30min,Reactive,lag=4_tu=0.6,0.6,1.2,0.030684672929240427,0.47172551548291364,0.02586393348495932
30min,Reactive,lag=4_tu=0.6,0.6,1.267,0.029630612342564845,0.494358413353983,0.024431637384533914
30min,Reactive,lag=4_tu=0.6,0.6,1.333,0.028099195582153423,0.5111653738035393,0.023556167565111308
30min,Reactive,lag=4_tu=0.6,0.6,1.4,0.026229146713723808,0.5269613705345595,0.022677703582545554
30min,Reactive,lag=4_tu=0.6,0.6,1.467,0.02546525567935719,0.5396459070211728,0.022097511087209993
30min,Reactive,lag=4_tu=0.6,0.6,1.533,0.022578704704926643,0.552297400994591,0.021278343276694724
30min,Reactive,lag=4_tu=0.6,0.6,1.6,0.021983221051649574,0.5641208816097866,0.02070158526261159
30min,Reactive,lag=4_tu=0.7,0.7,1.0,0.06588242135890218,0.32293959939272765,0.036043207535427994
30min,Reactive,lag=4_tu=0.7,0.7,1.067,0.04767382761505465,0.359559826065314,0.03239649295432316
30min,Reactive,lag=4_tu=0.7,0.7,1.133,0.04443471154783951,0.38671454420454654,0.03081164130630054
30min,Reactive,lag=4_tu=0.7,0.7,1.2,0.04044806055880962,0.4137105027582961,0.02913799217290529
30min,Reactive,lag=4_tu=0.7,0.7,1.267,0.03511899677663426,0.43694217837002736,0.02766090104349521
30min,Reactive,lag=4_tu=0.7,0.7,1.333,0.031746002899272395,0.4574472961628767,0.02647462534799808
30min,Reactive,lag=4_tu=0.7,0.7,1.4,0.030728289229378727,0.47749578367949175,0.025322547692322145
30min,Reactive,lag=4_tu=0.7,0.7,1.467,0.029879588722520972,0.49206526008602464,0.02455310647361555
30min,Reactive,lag=4_tu=0.7,0.7,1.533,0.028293651586936676,0.506163829575515,0.02379754995262177
30min,Reactive,lag=4_tu=0.7,0.7,1.6,0.026556268964761057,0.5204847968403367,0.023032218369601846
30min,Reactive,lag=4_tu=0.8,0.8,1.0,0.10564291940858721,0.2429172635298599,0.04528011276840324
30min,Reactive,lag=4_tu=0.8,0.8,1.067,0.07745406809837171,0.28286078173743423,0.03990453316299872
30min,Reactive,lag=4_tu=0.8,0.8,1.133,0.06761495772550687,0.3179157873094817,0.036473427682740825
30min,Reactive,lag=4_tu=0.8,0.8,1.2,0.06291227247587322,0.3424719194418521,0.03484090426075286
30min,Reactive,lag=4_tu=0.8,0.8,1.267,0.04600429257087194,0.37569582014974273,0.03152407600712493
30min,Reactive,lag=4_tu=0.8,0.8,1.333,0.04182924339652245,0.400141208341193,0.030014137146762137
30min,Reactive,lag=4_tu=0.8,0.8,1.4,0.03992648230298911,0.42083441223025886,0.02878867313953857
30min,Reactive,lag=4_tu=0.8,0.8,1.467,0.03484821224660899,0.44074840210867805,0.027498423661168756
30min,Reactive,lag=4_tu=0.8,0.8,1.533,0.03160909617939384,0.45920772993049397,0.026387354298737637
30min,Reactive,lag=4_tu=0.8,0.8,1.6,0.030663470561117644,0.47359478161399093,0.025694176176559343
30min,ML-Proactive,ML_tu=0.5,0.5,1.0,0.015636443599580555,0.46904545477109466,0.0141216475646886
30min,ML-Proactive,ML_tu=0.5,0.5,1.067,0.015157875861951987,0.4924658367780099,0.013756623852090689
30min,ML-Proactive,ML_tu=0.5,0.5,1.133,0.014529679983571193,0.5128250295889965,0.013458000110373073
30min,ML-Proactive,ML_tu=0.5,0.5,1.2,0.01405292959178172,0.5303464850003717,0.013208985542301654
30min,ML-Proactive,ML_tu=0.5,0.5,1.267,0.013461686412129208,0.546161851054465,0.012967691218413046
30min,ML-Proactive,ML_tu=0.5,0.5,1.333,0.012943742847986895,0.5597719180022254,0.012762033306835969
30min,ML-Proactive,ML_tu=0.5,0.5,1.4,0.012614197469164184,0.5721071224399165,0.01258822507183056
30min,ML-Proactive,ML_tu=0.5,0.5,1.467,0.01241065473518545,0.5830907101692844,0.012438810460079585
30min,ML-Proactive,ML_tu=0.5,0.5,1.533,0.012262843940272323,0.5934812680158448,0.012297409637917612
30min,ML-Proactive,ML_tu=0.5,0.5,1.6,0.012122908310661944,0.6025669442926433,0.01217485443083307
30min,ML-Proactive,ML_tu=0.6,0.6,1.0,0.01918572002333472,0.390888851822739,0.015397337190911365
30min,ML-Proactive,ML_tu=0.6,0.6,1.067,0.017441673799749084,0.4207577332692868,0.014874386049782952
30min,ML-Proactive,ML_tu=0.6,0.6,1.133,0.01624525445567766,0.44634068946688005,0.014463745381063034
30min,ML-Proactive,ML_tu=0.6,0.6,1.2,0.015636443599580555,0.46904545477109466,0.0141216475646886
30min,ML-Proactive,ML_tu=0.6,0.6,1.267,0.015252377845584971,0.48883223122170877,0.013814452297110221
30min,ML-Proactive,ML_tu=0.6,0.6,1.333,0.014764117596814556,0.5061979805341893,0.013554283003603564
30min,ML-Proactive,ML_tu=0.6,0.6,1.4,0.01424920294240407,0.5218767949310333,0.01332772465910572
30min,ML-Proactive,ML_tu=0.6,0.6,1.467,0.013902089887136766,0.5355106309208477,0.013131753745932928
30min,ML-Proactive,ML_tu=0.6,0.6,1.533,0.013359915045139842,0.54851196084717,0.012934667360216614
30min,ML-Proactive,ML_tu=0.6,0.6,1.6,0.012943742847986895,0.5597719180022254,0.012762033306835969
30min,ML-Proactive,ML_tu=0.7,0.7,1.0,0.026518104702140045,0.30871752900178845,0.01717956877005649
30min,ML-Proactive,ML_tu=0.7,0.7,1.067,0.022486020067132757,0.3459597834902483,0.016290302316542927
30min,ML-Proactive,ML_tu=0.7,0.7,1.133,0.019898119592260288,0.37675640712991987,0.015652721694297118
30min,ML-Proactive,ML_tu=0.7,0.7,1.2,0.0185544952352221,0.40402943776641587,0.015171219164522807
30min,ML-Proactive,ML_tu=0.7,0.7,1.267,0.017015809091454295,0.4283705732211557,0.014749776024855077
30min,ML-Proactive,ML_tu=0.7,0.7,1.333,0.016132579013653718,0.4497026663329232,0.014413783952929407
