container_id,n_points,et_r2,naive_r2,et_minus_naive_pp,note,horizon
c_11359,340,0.2595257352982582,0.24300247430801392,1.652326099024426,,10min
c_1137,343,0.16035920348788157,0.14277946949005127,1.7579733997830305,,10min
c_11380,343,0.859876758879838,0.8536390066146851,0.6237752265152996,,10min
c_11418,341,-0.02732541637560626,-0.02005326747894287,-0.7272148896663388,,10min
c_11430,343,0.3946121904459746,0.3960232138633728,-0.14110234173981828,,10min
c_11433,335,0.9069131198148851,0.9050281047821045,0.18850150327806015,,10min
c_1144,343,0.9664524463143075,0.962833046913147,0.3619399401160517,,10min
c_11450,342,0.8211691731930927,0.8145216703414917,0.6647502851600984,,10min
c_11455,343,0.46924402529905684,0.46516990661621094,0.40741186828459064,,10min
c_11459,342,-0.01062366653354907,-0.01673293113708496,0.6109264603535891,,10min
c_11473,341,0.906307659599054,0.9016862511634827,0.46214084355713503,,10min
c_11502,344,0.7558443173400752,0.7533690333366394,0.24752840034357737,,10min
c_11505,340,0.3902962187224398,0.3875056505203247,0.27905682021150957,,10min
c_11517,342,,,,constant_y_true,10min
c_11523,334,-0.018812537127010698,-0.034610867500305176,1.5798330373294478,,10min
c_11532,341,0.3410065025035556,0.32116782665252686,1.983867585102872,,10min
c_11533,342,0.8143475636137364,0.808580219745636,0.5767343868100405,,10min
c_11539,340,0.11332645120095486,0.070529043674469,4.279740752648586,,10min
c_11540,343,0.9080335930476915,0.9049479365348816,0.3085656512809898,,10min
c_11550,335,-1.0761007074273414,-1.0059881210327148,-7.011258639462659,,10min
c_11555,342,0.938261005730464,0.9369411468505859,0.13198588798780664,,10min
c_11564,341,-0.10956228634586096,-0.14437878131866455,3.481649497280359,,10min
c_11567,343,0.2485107961239872,0.23930984735488892,0.9200948769098272,,10min
c_11585,341,0.788177582953578,0.7885721921920776,-0.03946092384996547,,10min
c_11589,343,0.9305183100793815,0.926417350769043,0.4100959310338492,,10min
c_11591,343,-0.005421670335809203,-0.012884974479675293,0.746330414386609,,10min
c_11601,342,0.7595971247550208,0.7402689456939697,1.932817906105111,,10min
c_11624,340,0.356564035204865,0.3520559072494507,0.45081279554143316,,10min
c_1163,335,0.5484163956142426,0.48448699712753296,6.392939848670965,,10min
c_11634,341,0.6466852113210743,0.6392597556114197,0.7425455709654583,,10min
c_11642,333,0.2264647764103711,0.19738709926605225,2.907767714431886,,10min
c_11655,341,0.9791038376283699,0.975416898727417,0.3686938900952952,,10min
c_1166,343,0.8113098258936862,0.8094409108161926,0.1868915077493538,,10min
c_11680,340,0.8446945416836811,0.8399971723556519,0.46973693280292217,,10min
c_11687,337,0.16500476191515978,0.14902245998382568,1.5982301931334097,,10min
c_11730,342,0.5648102301878208,0.5649164915084839,-0.010626132066304805,,10min
c_11732,343,0.5828041828146142,0.5753785371780396,0.7425645636574663,,10min
c_11737,337,0.7234017806835888,0.7189568281173706,0.4444952566218241,,10min
c_11739,337,,,,constant_y_true,10min
c_11751,339,0.44997136103301194,0.44372230768203735,0.6249053350974587,,10min
c_11759,341,0.27706899589524836,0.2702474594116211,0.6821536483627266,,10min
c_1177,341,0.5575657635682446,0.544070839881897,1.3494923686347637,,10min
c_11781,343,-0.12753156156863032,-0.13453757762908936,0.700601606045903,,10min
c_11787,337,0.8949725707182137,0.8906508684158325,0.43217023023811585,,10min
c_11802,340,0.8502439708595054,0.8429490327835083,0.7294938075997126,,10min
c_11809,343,0.8076547041795299,0.8053785562515259,0.2276147928004013,,10min
c_11812,343,,,,constant_y_true,10min
c_11820,340,0.3381338552751917,0.3215774893760681,1.655636589912357,,10min
c_11821,343,-0.05413170351301866,-0.06936633586883545,1.523463235581679,,10min
c_11843,343,0.13636167296623203,0.11387079954147339,2.249087342475864,,10min
c_11857,339,0.08622369852713929,0.085502028465271,0.07216700618682959,,10min
c_11864,337,0.9048922486162445,0.9022257328033447,0.26665158128997835,,10min
c_11889,342,0.05495379453952198,0.038660645484924316,1.6293149054597666,,10min
c_11917,341,0.17275842457115087,0.16322588920593262,0.9532535365218253,,10min
c_1194,342,0.09318698918978896,0.10627174377441406,-1.3084754584625102,,10min
c_1195,336,0.7851652242401337,0.7810068130493164,0.41584111908172794,,10min
c_11985,331,0.3545424888249338,0.34935086965560913,0.5191619169324646,,10min
c_11999,343,0.13142561330738234,0.12700223922729492,0.44233740800874166,,10min
c_12,343,0.8104882374879356,0.8084040284156799,0.2084209072255705,,10min
c_12008,343,0.43139749769201585,0.40752118825912476,2.3876309432891096,,10min
c_1203,342,0.5708989212219491,0.5738495588302612,-0.29506376083121566,,10min
c_12035,343,0.40021954648436564,0.394572913646698,0.5646632837667642,,10min
c_12074,338,-0.30083213217762417,-0.3194805383682251,1.864840619060093,,10min
c_12078,343,0.4366881022052448,0.38324642181396484,5.344168039127995,,10min
c_12084,342,0.8936733745932981,0.890133261680603,0.35401129126950703,,10min
c_12111,329,0.15239804100542897,0.13843852281570435,1.395951818972463,,10min
c_1214,342,0.7533052543080047,0.7334494590759277,1.9855795232076923,,10min
c_12141,340,-0.0077690886166679185,-0.03823709487915039,3.046800626248247,,10min
c_12176,338,0.3247424637295847,0.2952151298522949,2.9527333877289785,,10min
c_12183,342,0.629942167723851,0.6284090280532837,0.15331396705673406,,10min
c_12209,343,0.14606658268590555,0.1336498260498047,1.2416756636100867,,10min
c_12212,341,0.29148815700103603,0.2548416256904602,3.6646531310575825,,10min
c_12223,342,0.9162022740133258,0.9119274616241455,0.42748123891802603,,10min
c_12238,343,0.3303079386199115,0.32632696628570557,0.3980972334205912,,10min
c_12251,334,0.3067982700534576,0.2745106816291809,3.2287588424276703,,10min
c_12254,341,0.7044528783652024,0.6957998871803284,0.8652991184874059,,10min
c_12260,343,0.35563612847775494,0.3179539442062378,3.768218427151715,,10min
c_12264,333,0.5858659892241036,0.5734405517578125,1.24254374662911,,10min
c_12272,341,0.8521720083304932,0.850864052772522,0.1307955557971252,,10min
c_12281,342,0.43791707578657635,0.4377804398536682,0.01366359329081357,,10min
c_12282,343,0.33311889734549505,0.29867613315582275,3.4442764189672292,,10min
c_12293,342,0.11536154328744719,0.08815014362335205,2.7211399664095137,,10min
c_12362,343,0.9306839991141843,0.9296705722808838,0.10134268333005236,,10min
c_12375,340,0.973943103513128,0.9712187051773071,0.27243983358208324,,10min
c_12425,343,0.31503652351812084,0.30187666416168213,1.3159859356438708,,10min
c_12436,335,0.9462458646245351,0.9448950290679932,0.13508355565419183,,10min
c_12448,343,0.9312882785658375,0.9284282922744751,0.2859986291362415,,10min
c_1245,342,0.769490098909918,0.7653568983078003,0.4133200602117748,,10min
c_12451,327,0.29694569259425185,0.2716771364212036,2.526855617304824,,10min
c_12462,336,0.3659410888568383,0.30740320682525635,5.853788203158194,,10min
c_12471,341,0.0921731077593626,0.07266777753829956,1.9505330221063044,,10min
c_12481,333,0.013671765953291226,0.00527036190032959,0.8401404052961636,,10min
c_12499,338,0.42399601406361054,0.41511112451553345,0.8884889548077091,,10min
c_12514,341,0.9116380731371022,0.9076209664344788,0.4017106702623452,,10min
c_12526,342,0.5716608547420727,0.5379772782325745,3.368357650949827,,10min
c_12536,344,0.10491611256761002,0.07716411352157593,2.7751999046034093,,10min
c_12545,342,0.7568703723007534,0.751456618309021,0.5413753991732384,,10min
c_1255,338,0.9402366348440937,0.9333966374397278,0.6839997404365916,,10min
