container_id,start_idx,end_idx,n_points
c_21396,281945,282264,319
c_2140,282264,282586,322
c_21427,282586,282908,322
c_2144,282908,283218,310
c_21444,283218,283525,307
c_2146,283525,283846,321
c_21460,283846,284167,321
c_21473,284167,284486,319
c_21490,284486,284806,320
c_21491,284806,285127,321
c_21493,285127,285448,321
c_21494,285448,285769,321
c_21498,285769,286089,320
c_21543,286089,286410,321
c_21560,286410,286721,311
c_21563,286721,287037,316
c_21567,287037,287355,318
c_21577,287355,287675,320
c_21621,287675,287994,319
c_21655,287994,288315,321
c_21658,288315,288635,320
c_21675,288635,288949,314
c_21679,288949,289270,321
c_21724,289270,289591,321
c_21749,289591,289906,315
c_21775,289906,290226,320
c_21783,290226,290541,315
c_21817,290541,290859,318
c_21820,290859,291177,318
c_21835,291177,291497,320
c_21850,291497,291815,318
c_2186,291815,292134,319
c_21872,292134,292451,317
c_21884,292451,292772,321
c_21900,292772,293089,317
c_21902,293089,293411,322
c_21927,293411,293728,317
c_21933,293728,294048,320
c_2194,294048,294366,318
c_2195,294366,294680,314
c_21950,294680,294993,313
c_21979,294993,295308,315
c_22016,295308,295626,318
c_22017,295626,295946,320
c_22020,295946,296266,320
c_22021,296266,296551,285
c_22025,296551,296868,317
c_22044,296868,297189,321
c_22048,297189,297509,320
c_2205,297509,297830,321
c_2209,297830,298151,321
c_22095,298151,298473,322
c_22098,298473,298794,321
c_22104,298794,299115,321
c_22119,299115,299436,321
c_2212,299436,299748,312
c_22124,299748,300069,321
c_22142,300069,300390,321
c_2215,300390,300711,321
c_22160,300711,301032,321
c_22181,301032,301350,318
c_2219,301350,301671,321
c_22204,301671,301990,319
c_22213,301990,302311,321
c_22226,302311,302629,318
c_2223,302629,302948,319
c_22244,302948,303267,319
c_22253,303267,303588,321
c_22256,303588,303907,319
c_22262,303907,304223,316
c_22266,304223,304539,316
c_22276,304539,304857,318
c_22279,304857,305174,317
c_22280,305174,305495,321
c_22291,305495,305816,321
c_22313,305816,306137,321
c_22324,306137,306454,317
c_22336,306454,306773,319
c_22342,306773,307086,313
c_22345,307086,307404,318
c_22347,307404,307725,321
c_22359,307725,308044,319
c_22385,308044,308357,313
c_22414,308357,308676,319
c_22438,308676,308996,320
c_22442,308996,309316,320
c_22450,309316,309637,321
c_22452,309637,309955,318
c_22468,309955,310276,321
c_22477,310276,310593,317
c_22478,310593,310912,319
c_22479,310912,311229,317
c_22483,311229,311551,322
c_2249,311551,311872,321
c_22493,311872,312192,320
c_22500,312192,312506,314
c_22514,312506,312827,321
c_22522,312827,313146,319
c_22543,313146,313462,316
c_22547,313462,313781,319
c_22581,313781,314100,319
c_22583,314100,314419,319
c_22593,314419,314735,316
c_22629,314735,315048,313
c_22640,315048,315369,321
c_22641,315369,315690,321
c_22667,315690,316006,316
c_22721,316006,316326,320
c_22754,316326,316643,317
c_22758,316643,316961,318
c_22765,316961,317282,321
c_22768,317282,317602,320
c_22776,317602,317923,321
c_22793,317923,318242,319
c_22801,318242,318555,313
c_22842,318555,318876,321
c_22899,318876,319196,320
c_22901,319196,319513,317
c_22912,319513,319833,320
c_22917,319833,320154,321
c_22931,320154,320475,321
c_22933,320475,320795,320
c_2295,320795,321111,316
c_22951,321111,321428,317
c_2298,321428,321745,317
c_23023,321745,322061,316
c_23028,322061,322381,320
c_23033,322381,322702,321
c_23037,322702,323021,319
c_23051,323021,323342,321
c_23062,323342,323663,321
c_23080,323663,323984,321
c_23085,323984,324304,320
c_23100,324304,324622,318
c_23122,324622,324943,321
c_23130,324943,325262,319
c_23147,325262,325578,316
c_23151,325578,325898,320
c_23152,325898,326212,314
c_23157,326212,326529,317
c_23162,326529,326845,316
c_23180,326845,327160,315
c_23181,327160,327476,316
c_23185,327476,327795,319
c_23206,327795,328040,245
c_23212,328040,328354,314
c_2322,328354,328675,321
c_23237,328675,328995,320
c_23244,328995,329316,321
c_23249,329316,329635,319
c_23257,329635,329953,318
c_23258,329953,330259,306
c_23271,330259,330580,321
c_23275,330580,330898,318
c_23278,330898,331217,319
c_23291,331217,331538,321
c_23299,331538,331853,315
c_2332,331853,332174,321
c_23320,332174,332493,319
c_23328,332493,332815,322
c_23343,332815,333126,311
c_23347,333126,333442,316
c_23367,333442,333761,319
c_23368,333761,334080,319
c_23392,334080,334397,317
c_23416,334397,334717,320
c_23430,334717,335037,320
c_23437,335037,335353,316
c_23439,335353,335672,319
c_23452,335672,335993,321
c_23464,335993,336312,319
c_23493,336312,336629,317
c_23518,336629,336948,319
c_2352,336948,337268,320
c_23520,337268,337588,320
c_23524,337588,337909,321
c_23526,337909,338229,320
c_23530,338229,338551,322
c_23547,338551,338871,320
c_23549,338871,339191,320
c_23556,339191,339507,316
c_23561,339507,339821,314
c_23576,339821,340142,321
c_23593,340142,340459,317
